"osf","id","paper","experiment","effect","internalReplication","resulto","resultr","smdo","so","smdr","sr","effectType","ESo","seESo","lowerESo","upperESo","po","ESr","seESr","lowerESr","upperESr","pr","no","nr"
"https://osf.io/oblj1/","(24, 3, 3, 1)",24,3,3,1,"Positive","Null-positive",6.186268,1.87433240048138,2.085728,1.08243736453038,"Cohen's d",6.186268,2.217855,2.492441,9.839689,0.0001234589,2.085728,1.347469,-0.1010185,4.142058,0.06300514,8,6
"https://osf.io/oblj1/","(24, 3, 4, 1)",24,3,4,1,"Positive","Positive",11.81928,4.57214676937186,5.788292,2.74322425943033,"Glass' delta",11.81928,4.876736,3.029334,20.95182,0.0001647319,5.788292,3.007116,0.5530485,11.30629,0.0005585633,8,6
"https://osf.io/oblj1/","(24, 3, 5, 1)",24,3,5,1,"Positive","Positive",2.975367,1.09615248899799,2.802613,1.05961278696015,"Cohen's d",2.975367,1.284645,0.7811132,5.077952,0.005636838,2.802613,1.240727,0.6790372,4.832643,0.007422007,8,8
"https://osf.io/oblj1/","(24, 3, 6, 1)",24,3,6,1,"Null","Null-positive",1.004925,0.761836422392427,0.6332674,0.729333937396536,"Cohen's d",1.004925,0.8825389,-0.5231449,2.463199,0.2050917,0.6332674,0.8433417,-0.8203145,2.038622,0.404974,8,8
"https://osf.io/oblj1/","(24, 3, 7, 1)",24,3,7,1,"Positive","Positive",2.708333,1.26247676973548,3.323902,1.46269129056101,"Glass' delta",2.708333,1.312445,0.193857,5.142675,0.007176665,3.323902,1.530159,0.4344105,6.168055,0.03894628,8,8
"https://osf.io/oblj1/","(24, 3, 8, 1)",24,3,8,1,"Positive","Positive",20.5625,7.6344127331051,2.075854,1.07072330999617,"Glass' delta",20.5625,8.424334,5.434002,35.36035,3.163946e-05,2.075854,1.103719,-0.07814925,4.119009,0.006015906,8,8
"https://osf.io/oblj1/","(24, 4, 1, 1)",24,4,1,1,"Positive","Positive",6.088486,2.21457844850072,2.171778,0.935246496598336,"Cohen's d",6.088486,2.819674,1.742122,10.42311,0.001728131,2.171778,1.091208,0.2904801,3.956579,0.02190393,6,8
"https://osf.io/oblj1/","(24, 4, 2, 1)",24,4,2,1,"Positive","Null-positive",8.120974,2.86103190886741,0.4258394,0.717242771340971,"Cohen's d",8.120974,3.655908,2.537121,13.75216,0.0005738803,0.4258394,0.8287433,-0.996725,1.814815,0.5690665,6,8
"https://osf.io/oblj1/","(24, 4, 3, 1)",24,4,3,1,"Positive","Positive",8.193411,2.88439509327344,2.363073,0.971262796161394,"Cohen's d",8.193411,3.686088,2.564739,13.87136,0.0005544865,2.363073,1.134515,0.4112248,4.218505,0.01557516,6,8
"https://osf.io/oblj1/","(24, 4, 4, 1)",24,4,4,1,"Positive","Null-positive",4.836069,1.82986704260366,1.491057,0.822735908781719,"Cohen's d",4.836069,2.320597,1.223106,8.396053,0.004070677,1.491057,0.9558736,-0.1653935,3.059672,0.07951859,6,8
